State,Year,Annual_Rainfall,Historical_Avg_Rainfall,Rainfall_Anomaly,Rainfall_Anomaly_Percent,Rainfall_Risk_Score,Regional_Rainfall_Risk,Flood_Events,Total_Known_Fatalities,Total_Known_Injuries,Total_Known_Displaced,Total_Animal_Fatalities,Average_Impact_Score,Historical_Flood_Present,Combined_Risk_Score,Combined_Risk_Level,Rainfall_Data_Available,Final_Risk_Level,Final_Risk_Score,Rainfall_Signal,Historical_Flood_Signal,Risk_Fusion_Score,Overall_Risk_Level,Recommended_Action
Andaman & Nicobar Islands,2012.0,,,,,,,2.0,0.0,0.0,0.0,0.0,-1.0,1,1.0,Moderate,0,Historical Flood Signal,2,0.0,1,1.0,MODERATE,Continue monitoring rainfall and historical flood conditions.
Andaman & Nicobar Islands,2013.0,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1,1.0,Moderate,0,Historical Flood Signal,2,0.0,1,1.0,MODERATE,Continue monitoring rainfall and historical flood conditions.
Andhra Pradesh,1901.0,853.9,907.646153846154,-53.74615384615396,-6.022503581177201,0.0,Low,0.0,0.0,0.0,0.0,0.0,,0,0.0,Low,1,Low,0,0.0,0,0.0,LOW,Routine monitoring recommended.
Andhra Pradesh,1902.0,941.0,907.646153846154,33.35384615384601,4.123979178130388,0.0,Low,0.0,0.0,0.0,0.0,0.0,,0,0.0,Low,1,Low,0,0.0,0,0.0,LOW,Routine monitoring recommended.
Andhra Pradesh,1903.0,1227.2,907.646153846154,319.5538461538461,37.05135365468781,1.5,High,0.0,0.0,0.0,0.0,0.0,,0,1.5,Moderate,1,Moderate,1,1.5,0,1.5,LOW,Routine monitoring recommended.
Andhra Pradesh,1904.0,646.8,907.646153846154,-260.8461538461539,-30.7227214472583,0.0,Low,0.0,0.0,0.0,0.0,0.0,,0,0.0,Low,1,Low,0,0.0,0,0.0,LOW,Routine monitoring recommended.
Andhra Pradesh,1905.0,749.3,907.646153846154,-158.34615384615392,-16.16972799516569,0.0,Low,0.0,0.0,0.0,0.0,0.0,,0,0.0,Low,1,Low,0,0.0,0,0.0,LOW,Routine monitoring recommended.
Andhra Pradesh,1906.0,967.05,907.646153846154,59.40384615384606,8.276757103264126,0.5,Moderate,0.0,0.0,0.0,0.0,0.0,,0,0.5,Low,1,Low,0,0.5,0,0.5,LOW,Routine monitoring recommended.
Andhra Pradesh,1907.0,729.15,907.646153846154,-178.49615384615396,-19.206800232839136,0.0,Low,0.0,0.0,0.0,0.0,0.0,,0,0.0,Low,1,Low,0,0.0,0,0.0,LOW,Routine monitoring recommended.
Andhra Pradesh,1908.0,729.7,907.646153846154,-177.94615384615395,-19.568131712694463,0.0,Low,0.0,0.0,0.0,0.0,0.0,,0,0.0,Low,1,Low,0,0.0,0,0.0,LOW,Routine monitoring recommended.
